2026-04-24T17:41:28.155089,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:41:28.190987,PLATEAU_CONFIRMED,Wideband signal detected,freq=102974358.97435898,bw=3.6669921875,hits=8
2026-04-24T17:41:28.208251,VIDEO_REJECTED,autocorr rejected video,freq=102974358.97435898,score=0.0
2026-04-24T17:41:28.259730,PLATEAU_CONFIRMED,Wideband signal detected,freq=146053724.05372405,bw=5.185546875,hits=6
2026-04-24T17:41:28.281176,VIDEO_REJECTED,autocorr rejected video,freq=146053724.05372405,score=0.0
2026-04-24T17:41:28.294011,PLATEAU_CONFIRMED,Wideband signal detected,freq=160862026.86202687,bw=7.32421875,hits=4
2026-04-24T17:41:28.316387,VIDEO_REJECTED,autocorr rejected video,freq=160862026.86202687,score=0.0
2026-04-24T17:41:28.333968,PLATEAU_CONFIRMED,Wideband signal detected,freq=173374847.37484738,bw=5.8642578125,hits=3
2026-04-24T17:41:28.359984,VIDEO_REJECTED,autocorr rejected video,freq=173374847.37484738,score=0.0
2026-04-24T17:41:28.424853,PLATEAU_CONFIRMED,Wideband signal detected,freq=205169719.16971916,bw=6.181640625,hits=6
2026-04-24T17:41:28.454114,VIDEO_REJECTED,autocorr rejected video,freq=205169719.16971916,score=0.0
2026-04-24T17:41:28.463039,PLATEAU_CONFIRMED,Wideband signal detected,freq=225843711.84371185,bw=4.599609375,hits=5
2026-04-24T17:41:28.503921,VIDEO_REJECTED,autocorr rejected video,freq=225843711.84371185,score=0.0
2026-04-24T17:41:28.582994,PLATEAU_CONFIRMED,Wideband signal detected,freq=245201465.2014652,bw=7.9150390625,hits=6
2026-04-24T17:41:28.619600,VIDEO_REJECTED,autocorr rejected video,freq=245201465.2014652,score=0.0
2026-04-24T17:41:28.630759,PLATEAU_CONFIRMED,Wideband signal detected,freq=265794871.7948718,bw=5.8837890625,hits=10
2026-04-24T17:41:28.658158,VIDEO_REJECTED,autocorr rejected video,freq=265794871.7948718,score=0.0
2026-04-24T17:41:28.732360,PLATEAU_CONFIRMED,Wideband signal detected,freq=314175824.17582417,bw=4.6337890625,hits=4
2026-04-24T17:41:28.759024,VIDEO_REJECTED,autocorr rejected video,freq=314175824.17582417,score=0.0
2026-04-24T17:41:28.765424,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=340000000
2026-04-24T17:41:29.492083,PLATEAU_CONFIRMED,Wideband signal detected,freq=481992673.992674,bw=7.8271484375,hits=8
2026-04-24T17:41:29.660301,VIDEO_REJECTED,autocorr rejected video,freq=481992673.992674,score=0.0
2026-04-24T17:41:29.722754,PLATEAU_CONFIRMED,Wideband signal detected,freq=501990231.990232,bw=7.8271484375,hits=10
2026-04-24T17:41:29.799436,VIDEO_REJECTED,autocorr rejected video,freq=501990231.990232,score=0.0
2026-04-24T17:41:29.990912,PLATEAU_CONFIRMED,Wideband signal detected,freq=528041514.04151404,bw=3.9404296875,hits=9
2026-04-24T17:41:30.177755,VIDEO_REJECTED,autocorr rejected video,freq=528041514.04151404,score=0.0
2026-04-24T17:41:30.425400,PLATEAU_CONFIRMED,Wideband signal detected,freq=531948717.94871795,bw=3.9306640625,hits=10
2026-04-24T17:41:30.629932,VIDEO_REJECTED,autocorr rejected video,freq=531948717.94871795,score=0.0
2026-04-24T17:41:30.816272,PLATEAU_CONFIRMED,Wideband signal detected,freq=560002442.002442,bw=3.92578125,hits=10
2026-04-24T17:41:30.978871,VIDEO_REJECTED,autocorr rejected video,freq=560002442.002442,score=0.0
2026-04-24T17:41:31.116359,PLATEAU_CONFIRMED,Wideband signal detected,freq=588056166.056166,bw=3.88671875,hits=10
2026-04-24T17:41:31.269712,VIDEO_REJECTED,autocorr rejected video,freq=588056166.056166,score=0.0
2026-04-24T17:41:31.338333,PLATEAU_CONFIRMED,Wideband signal detected,freq=608048840.04884,bw=8.96484375,hits=10
2026-04-24T17:41:31.438424,VIDEO_REJECTED,autocorr rejected video,freq=608048840.04884,score=0.0
