2026-04-24T17:20:14.431895,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:14.479692,PLATEAU_CONFIRMED,Wideband signal detected,freq=104935286.93528694,bw=9.189453125,hits=10
2026-04-24T17:20:14.500142,VIDEO_REJECTED,cyclo rejected video,freq=104935286.93528694,score=0
2026-04-24T17:20:14.516966,PLATEAU_CONFIRMED,Wideband signal detected,freq=124393162.3931624,bw=5.78125,hits=6
2026-04-24T17:20:14.545018,VIDEO_REJECTED,cyclo rejected video,freq=124393162.3931624,score=0
2026-04-24T17:20:14.552985,PLATEAU_CONFIRMED,Wideband signal detected,freq=145301587.3015873,bw=9.62890625,hits=5
2026-04-24T17:20:14.586334,VIDEO_REJECTED,cyclo rejected video,freq=145301587.3015873,score=0
2026-04-24T17:20:14.590793,PLATEAU_CONFIRMED,Wideband signal detected,freq=165409035.4090354,bw=9.7314453125,hits=3
2026-04-24T17:20:14.611462,VIDEO_REJECTED,cyclo rejected video,freq=165409035.4090354,score=0
2026-04-24T17:20:14.622844,PLATEAU_CONFIRMED,Wideband signal detected,freq=179426129.42612943,bw=7.28515625,hits=3
2026-04-24T17:20:14.650737,VIDEO_REJECTED,cyclo rejected video,freq=179426129.42612943,score=0
2026-04-24T17:20:14.714869,PLATEAU_CONFIRMED,Wideband signal detected,freq=205731379.73137972,bw=6.6650390625,hits=7
2026-04-24T17:20:14.765212,VIDEO_REJECTED,cyclo rejected video,freq=205731379.73137972,score=0
2026-04-24T17:20:14.775658,PLATEAU_CONFIRMED,Wideband signal detected,freq=226126984.12698412,bw=5.625,hits=10
2026-04-24T17:20:14.805651,VIDEO_REJECTED,cyclo rejected video,freq=226126984.12698412,score=0
2026-04-24T17:20:14.812907,PLATEAU_CONFIRMED,Wideband signal detected,freq=246630036.63003662,bw=4.0576171875,hits=5
2026-04-24T17:20:14.844997,VIDEO_REJECTED,cyclo rejected video,freq=246630036.63003662,score=0
2026-04-24T17:20:14.857960,PLATEAU_CONFIRMED,Wideband signal detected,freq=265875457.87545788,bw=6.2060546875,hits=6
2026-04-24T17:20:14.887242,VIDEO_REJECTED,cyclo rejected video,freq=265875457.87545788,score=0
2026-04-24T17:20:14.895671,PLATEAU_CONFIRMED,Wideband signal detected,freq=285394383.3943834,bw=6.904296875,hits=7
2026-04-24T17:20:14.923206,VIDEO_REJECTED,cyclo rejected video,freq=285394383.3943834,score=1
2026-04-24T17:20:14.938004,PLATEAU_CONFIRMED,Wideband signal detected,freq=294622710.6227106,bw=6.806640625,hits=4
2026-04-24T17:20:14.989541,VIDEO_REJECTED,cyclo rejected video,freq=294622710.6227106,score=0
2026-04-24T17:20:14.997440,PLATEAU_CONFIRMED,Wideband signal detected,freq=313296703.2967033,bw=5.1611328125,hits=6
2026-04-24T17:20:15.043687,PLATEAU_CONFIRMED,Wideband signal detected,freq=332402930.4029304,bw=7.861328125,hits=5
2026-04-24T17:20:15.044295,VIDEO_REJECTED,cyclo rejected video,freq=313296703.2967033,score=0
2026-04-24T17:20:15.071481,VIDEO_REJECTED,cyclo rejected video,freq=332402930.4029304,score=0
2026-04-24T17:20:15.082775,PLATEAU_CONFIRMED,Wideband signal detected,freq=361987789.98779,bw=4.0478515625,hits=4
2026-04-24T17:20:15.102228,VIDEO_REJECTED,cyclo rejected video,freq=361987789.98779,score=0
2026-04-24T17:20:15.117763,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=380000000
2026-04-24T17:20:15.401190,PLATEAU_CONFIRMED,Wideband signal detected,freq=422659340.6593407,bw=5.1513671875,hits=8
2026-04-24T17:20:15.418868,VIDEO_REJECTED,cyclo rejected video,freq=422659340.6593407,score=0
2026-04-24T17:20:15.493105,PLATEAU_CONFIRMED,Wideband signal detected,freq=442307692.3076923,bw=5.1025390625,hits=7
2026-04-24T17:20:15.520984,VIDEO_REJECTED,cyclo rejected video,freq=442307692.3076923,score=0
2026-04-24T17:20:16.170226,PLATEAU_CONFIRMED,Wideband signal detected,freq=481951159.95115995,bw=7.822265625,hits=8
